comparison_group,pattern_kind,diameter_mm,pitch_mm,pupil_diameter_mm,myopia_d,wavelength_nm,ring_count,ghost_index,ghost_x_arcmin,ghost_y_arcmin,ghost_radius_arcmin,ghost_azimuth_deg,multiplicity,total_weight,measured_peak,peak_ratio,above_visibility_threshold
pupil_study_B,square_packing,1.0,2.5,4.0,3.0,550.0,0,22,687.549354156988,-687.549354156988,972.3416214496748,315.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,4.0,3.0,550.0,0,23,-687.549354156988,687.549354156988,972.3416214496748,135.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,4.0,3.0,550.0,0,24,687.549354156988,687.549354156988,972.3416214496748,45.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,1,0.0,-343.774677078494,343.774677078494,270.0,1,1.0,0.010425820471450702,0.9999579718021895,True
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,2,-343.774677078494,0.0,343.774677078494,180.0,1,1.0,0.010425819708357202,0.9999578986126089,True
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,3,343.774677078494,0.0,343.774677078494,0.0,1,1.0,0.010425819708357202,0.9999578986126089,True
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,4,0.0,343.774677078494,343.774677078494,90.0,1,1.0,0.010425819876602686,0.9999579147493161,True
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,5,-343.774677078494,-343.774677078494,486.1708107248374,225.0,1,0.9880124633416801,0.010300018390491822,0.9878920826888474,True
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,6,343.774677078494,-343.774677078494,486.1708107248374,315.0,1,0.9880124633416801,0.010300018479184117,0.9878920911954745,True
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,7,-343.774677078494,343.774677078494,486.1708107248374,135.0,1,0.9880124633416801,0.010300018567868252,0.987892099701319,True
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,8,343.774677078494,343.774677078494,486.1708107248374,45.0,1,0.9880124633416801,0.010300018567868252,0.987892099701319,True
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,9,0.0,-687.549354156988,687.549354156988,270.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,10,-687.549354156988,0.0,687.549354156988,180.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,11,687.549354156988,0.0,687.549354156988,0.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,12,0.0,687.549354156988,687.549354156988,90.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,13,-343.774677078494,-687.549354156988,768.7035468905514,243.43494882292202,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,8.0,3.0,550.0,0,14,343.774677078494,-687.549354156988,768.7035468905514,296.565051177078,1,0.0,0.0,0.0,False
